temperature,humidity,milk_yield,weight,heart_rate,activity_level,disease_label
41.03,100.0,11.52,421.81,73.19,45.06,1
38.44,53.38,21.55,502.82,65.35,80.88,0
40.64,96.33,6.05,363.97,93.16,53.2,1
38.52,73.14,25.18,495.18,57.57,77.3,0
39.79,72.79,8.95,433.2,77.26,63.39,1
39.66,70.05,8.8,347.95,75.47,49.4,1
38.6,50.09,23.51,471.25,64.86,71.56,0
39.95,63.57,8.76,373.37,103.51,69.35,1
39.04,48.69,24.66,429.69,59.58,72.82,0
39.95,77.86,9.5,421.08,84.38,59.24,1
38.16,73.38,20.26,480.29,72.35,75.6,0
39.42,76.97,6.26,533.87,74.12,54.13,1
38.58,55.53,25.84,508.91,71.23,68.28,0
38.57,60.66,17.04,460.85,72.21,87.75,0
39.36,63.73,20.53,494.23,70.75,73.63,0
38.68,65.19,16.11,527.68,68.5,75.68,0
38.57,63.02,19.88,478.11,78.18,67.36,0
38.54,50.32,28.17,432.01,61.55,68.47,0
38.68,84.65,11.53,440.29,97.7,53.76,1
40.02,83.63,7.5,443.76,88.87,54.79,1
37.94,70.48,19.8,399.13,67.15,82.49,0
40.34,87.89,6.27,358.59,84.5,41.22,1
39.5,87.56,4.36,462.75,80.5,36.59,1
39.33,52.15,21.81,452.02,60.5,69.78,0
39.05,80.78,13.82,466.67,91.57,41.61,1
38.41,62.57,23.02,471.09,71.02,69.26,0
38.06,62.08,18.8,352.93,70.43,69.21,0
38.46,72.64,19.87,511.67,68.54,76.56,0
38.61,69.51,28.84,492.97,64.23,82.12,0
38.38,77.68,21.0,454.69,62.75,70.3,0
38.52,59.21,20.47,491.06,64.14,70.27,0
39.24,58.21,19.11,494.81,59.15,60.65,0
38.63,55.02,17.9,460.63,62.52,92.14,0
38.8,65.11,23.08,490.62,69.49,72.14,0
38.36,46.19,21.09,470.75,55.98,77.74,0
38.47,64.64,20.36,450.48,63.17,72.82,0
39.77,77.59,13.55,456.84,90.08,31.01,1
38.03,67.5,8.79,441.81,74.92,48.83,1
39.1,65.33,25.46,514.46,63.91,79.47,0
37.89,64.52,20.03,465.38,61.92,71.91,0
38.73,60.52,24.77,455.12,70.24,87.24,0
39.89,87.07,11.77,442.42,74.14,43.61,1
38.87,73.62,26.56,499.75,69.76,72.14,0
38.6,48.34,19.12,494.38,68.12,75.83,0
40.51,94.26,11.09,422.85,92.95,46.84,1
38.32,35.84,22.85,443.98,76.58,80.99,0
38.15,75.2,18.61,534.26,63.74,78.93,0
38.94,71.62,21.14,480.05,67.16,74.23,0
38.64,68.73,25.22,521.18,83.38,79.61,0
39.57,71.73,10.99,381.86,78.6,24.62,1
39.85,79.5,10.98,449.56,79.82,32.44,1
38.24,64.69,17.78,461.48,67.89,80.14,0
39.53,73.91,11.69,391.24,82.81,33.02,1
38.88,63.65,21.4,445.74,68.04,71.19,0
39.37,64.83,22.0,477.22,77.49,67.88,0
39.72,64.38,10.31,453.88,74.52,38.59,1
40.22,87.53,11.74,410.24,89.87,55.57,1
40.42,83.35,6.96,450.29,69.89,32.44,1
38.87,62.75,27.76,412.37,77.96,80.84,0
39.11,54.02,19.59,555.62,57.63,84.0,0
40.56,74.11,15.96,482.59,75.8,38.06,1
38.87,46.53,22.7,477.28,65.59,69.78,0
39.5,87.44,9.25,447.18,84.36,55.91,1
38.42,71.38,17.21,460.68,66.25,81.92,0
39.59,75.01,12.32,401.46,90.48,50.67,1
39.84,75.79,7.79,448.41,79.12,24.28,1
38.85,57.87,22.23,516.76,77.71,91.73,0
39.93,80.42,14.25,387.7,70.69,31.98,1
38.49,66.54,23.64,427.37,74.63,64.88,0
40.08,67.76,17.97,404.9,82.4,26.78,1
40.41,67.75,8.66,391.12,68.35,27.61,1
38.29,60.49,18.87,435.06,69.84,73.99,0
38.7,87.98,10.41,476.03,90.0,31.71,1
38.28,49.98,13.21,508.14,61.09,76.14,0
39.55,71.0,17.11,508.63,60.75,55.92,0
38.1,57.02,27.89,469.49,71.45,71.07,0
39.36,69.31,3.88,422.92,88.72,28.35,1
38.68,64.13,24.68,422.69,54.3,65.94,0
38.54,47.5,20.45,560.61,64.17,68.43,0
39.94,93.84,9.0,443.46,98.08,47.95,1
38.24,69.89,21.37,493.55,65.39,71.02,0
38.69,67.0,19.86,426.67,67.78,72.66,0
39.61,48.57,11.21,440.15,92.79,34.24,1
39.96,87.56,8.15,451.37,84.97,46.1,1
39.44,68.29,11.35,368.74,89.73,61.15,1
39.74,66.76,18.22,434.35,70.23,34.43,1
39.89,67.31,7.87,478.12,92.91,60.75,1
39.73,67.99,22.88,464.47,64.12,73.05,0
38.76,57.02,21.09,487.02,68.68,76.49,0
41.03,100.0,6.04,429.44,97.95,39.22,1
40.59,77.43,11.25,437.63,83.55,45.07,1
39.9,73.54,12.43,368.26,82.91,46.38,1
38.73,70.63,23.95,440.25,75.99,82.87,0
38.62,69.67,18.06,508.42,62.39,65.93,0
39.88,86.72,4.03,425.47,98.23,40.49,1
39.64,89.46,7.45,370.32,94.91,20.76,1
38.95,74.2,19.87,488.43,68.55,72.24,0
40.24,85.85,13.77,388.86,84.52,38.27,1
40.25,70.78,12.93,369.72,80.79,47.1,1
40.61,76.69,14.93,396.03,88.95,66.13,1
38.74,58.17,21.84,463.3,70.25,66.29,0
38.23,49.09,21.77,393.14,68.7,83.59,0
37.8,66.82,20.9,512.09,72.79,71.27,0
39.93,72.57,8.44,300.0,66.52,30.82,1
38.84,65.88,23.19,467.59,69.92,77.88,0
38.98,56.4,23.66,522.16,65.51,61.98,0
38.18,58.95,25.6,384.32,68.17,55.97,0
39.01,66.03,18.72,424.17,71.55,86.12,0
38.48,61.17,25.98,458.48,65.38,82.7,0
37.51,52.58,22.97,419.24,66.35,75.66,0
38.28,36.48,23.82,458.16,65.33,75.27,0
39.65,64.67,12.66,469.88,66.1,50.1,1
38.32,64.68,20.16,485.14,62.02,71.69,0
40.48,75.91,13.23,515.26,93.05,48.15,1
38.78,61.79,22.94,507.21,71.88,76.26,0
37.65,51.87,18.39,606.08,67.0,70.88,0
38.44,62.0,22.15,503.12,73.3,72.62,0
38.24,61.21,27.42,456.62,63.82,84.31,0
38.84,52.98,20.6,567.36,70.59,64.17,0
39.36,54.35,3.18,385.3,78.39,27.07,1
40.5,80.11,10.09,461.61,100.98,49.86,1
38.01,60.11,23.72,500.93,58.48,62.43,0
38.08,58.53,21.82,460.64,53.5,73.81,0
39.11,61.01,23.52,529.39,74.61,66.79,0
39.23,67.23,19.22,510.04,65.04,69.68,0
39.81,74.24,9.01,314.56,83.18,42.68,1
38.46,70.38,23.23,440.33,73.96,65.34,0
38.73,55.93,21.01,496.83,74.28,63.19,0
38.63,54.8,17.56,490.57,70.59,82.93,0
38.59,60.54,21.9,492.44,65.48,73.03,0
39.19,76.8,11.57,412.16,86.63,36.66,1
39.26,89.94,7.97,462.29,85.73,29.66,1
38.71,64.97,23.3,453.84,66.17,66.99,0
38.14,74.71,24.96,546.25,59.27,68.58,0
38.54,53.66,22.67,444.83,66.93,56.2,0
41.67,68.49,7.4,460.13,84.87,20.06,1
39.85,89.57,5.67,412.27,81.38,44.28,1
39.76,84.64,13.96,362.68,66.25,70.96,1
40.31,88.64,5.75,393.76,81.26,22.53,1
40.43,58.1,8.28,411.32,101.78,42.23,1
38.63,65.31,11.13,405.1,70.88,24.3,1
39.01,65.57,22.43,533.02,62.85,68.52,0
39.18,84.04,9.01,407.56,86.78,50.11,1
39.12,63.12,19.29,513.72,68.04,90.47,0
39.58,83.69,4.98,398.1,54.81,42.22,1
38.76,58.21,24.61,470.28,65.31,79.63,0
39.53,68.0,27.2,489.35,72.88,70.64,0
41.27,68.08,2.74,426.08,101.78,27.24,1
38.24,55.34,22.93,423.08,70.69,55.1,0
38.82,60.45,22.53,519.82,76.32,74.08,0
38.95,90.09,7.16,433.73,78.12,25.21,1
38.6,46.85,21.59,470.76,63.12,80.62,0
38.79,54.25,13.5,460.73,58.12,93.92,0
38.1,56.69,19.55,436.19,69.2,71.68,0
38.26,67.64,22.07,423.73,68.23,81.86,0
39.12,57.3,21.11,475.12,70.72,65.82,0
38.64,64.09,19.15,519.61,65.3,72.76,0
39.63,72.05,14.13,440.66,91.1,65.26,1
39.41,66.08,22.87,456.6,76.42,62.65,0
38.56,70.04,13.13,425.56,72.2,44.41,1
39.0,51.15,18.19,474.71,75.58,76.93,0
38.49,68.48,18.16,457.88,64.09,78.09,0
38.47,63.8,18.03,481.58,63.88,69.19,0
38.91,54.97,24.88,440.22,74.84,69.06,0
39.57,92.62,8.66,425.51,103.06,52.79,1
41.07,55.84,11.83,425.2,91.78,79.45,1
40.02,88.1,10.9,427.48,74.54,34.0,1
39.29,63.58,9.72,431.9,84.13,35.76,1
38.95,64.45,18.59,496.81,71.67,76.01,0
38.77,83.27,15.34,425.25,74.74,27.54,1
38.94,63.52,23.51,520.29,74.26,71.51,0
39.01,53.55,21.25,494.56,73.49,70.6,0
38.95,86.81,11.44,426.35,84.26,55.29,1
39.63,83.09,13.31,352.24,86.64,62.5,1
38.05,47.49,20.09,423.78,62.61,74.21,0
40.08,74.67,5.53,386.22,87.28,45.52,1
38.65,54.99,18.69,453.33,76.22,75.46,0
